"","chunk_vid_id","chunk_vid_duration","chunk_vid_dimention","chunk_vid_definition","chunk_vid_caption","chunk_vid_licensedContent","chunk_vid_projection"
"1","n1WpP7iowLc","PT5M5S","2d","hd",FALSE,TRUE,"rectangular"
"2","0dBIkQ4Mz1M","PT9M35S","2d","hd",FALSE,FALSE,"rectangular"
"3","d380meD0W0M","PT12M13S","2d","hd",TRUE,TRUE,"rectangular"
"4","2Vv-BfVoq4g","PT4M40S","2d","hd",FALSE,TRUE,"rectangular"
"5","0yIWz1XEeyc","PT8M40S","2d","hd",TRUE,TRUE,"rectangular"
"6","_uM5kFfkhB8","PT9M34S","2d","hd",FALSE,TRUE,"rectangular"
"7","2kyS6SvSYSE","PT11M18S","2d","hd",FALSE,TRUE,"rectangular"
"8","JzCsM1vtn78","PT11M13S","2d","hd",TRUE,FALSE,"rectangular"
"9","H1KBHFXm2Bg","PT5M17S","2d","hd",FALSE,FALSE,"rectangular"
"10","U3xLOo-CNwo","PT11M4S","2d","hd",FALSE,TRUE,"rectangular"
"11","FyZMnhUtLfE","PT43M5S","2d","hd",FALSE,TRUE,"rectangular"
"12","7MxiQ4v0EnE","PT3M40S","2d","hd",FALSE,TRUE,"rectangular"
"13","LUzsOyWp9lw","PT10M23S","2d","hd",TRUE,TRUE,"rectangular"
"14","AS9-ITLhQxo","PT13M1S","2d","hd",TRUE,TRUE,"rectangular"
"15","gifPYwArCVQ","PT6M19S","2d","hd",FALSE,FALSE,"rectangular"
"16","8NHA23f7LvU","PT2M4S","2d","hd",FALSE,TRUE,"rectangular"
"17","fy-CuCzaPp8","PT3M7S","2d","hd",TRUE,TRUE,"rectangular"
"18","kzwfHumJyYc","PT27S","2d","hd",FALSE,TRUE,"rectangular"
"19","nc99ccSXST0","PT10M8S","2d","hd",TRUE,TRUE,"rectangular"
"20","puqaWrEC7tY","PT7M10S","2d","hd",TRUE,FALSE,"rectangular"
"21","6H3wVsceoS0","PT3M37S","2d","hd",FALSE,TRUE,"rectangular"
"22","PRlmRnU9qts","PT3M17S","2d","hd",FALSE,FALSE,"rectangular"
"23","wuf2KinLxZ8","PT7M39S","2d","hd",TRUE,TRUE,"rectangular"
"24","aVTAU_4i9AY","PT12M16S","2d","hd",FALSE,TRUE,"rectangular"
"25","7779JdxVAg0","PT10M8S","2d","hd",FALSE,TRUE,"rectangular"
